,Description,Job Title,Position Level,Qualifications,Aprobado
11,"•	Dominio en HTM5 - CSS3 intermedio
•	Dominio en JS - jQuery básico
•	Dominio de Photoshop - Ilustrator básico
•	Conocimiento en Responsive Web Design 
•	Conocimiento en Wordpress básico
•	Proactiva - Responsable

No es indispensable:
•	Conocimiento en  JADE, STYLUS(Preprocesadores)
•	Conocimiento en Mailchimp
•	Conocimiento en SEO

Funciones a realizar:
•	Diseñar banner para la página web del CIDEPUCP
•	Diseño & Maquetación de interfaces (landingpages) para la página web del CIDEPUCP
•	Actualización de información del página web del CIDEPUCP
•	Analizar el trafico de la página web, para brindar nuevas soluciones
•	Manejo de la herramienta FormTools
•	Maquetación el diseño del emailing, newsletter y boletín de prensa
•	Enviar las campañas de emailing
•	Analizar las campañas enviadas de emailing, brindar nuevas soluciones",Practicante Profesional diseño web y desarrollo frontend,Practicante,"No es indispensable:
•	Conocimiento en  JADE, STYLUS(Preprocesadores)
•	Conocimiento en Mailchimp
•	Conocimiento en SEO",D
12,"Apoyar en recoger y sistematizar la información para el Seguimiento y Evaluación de la Inversión Pública.
Apoyar en proponer ideas o versiones preliminares para la elaboración de herramientas, lineamientos y/o normativas en materia de Seguimiento y Evaluación de la Inversión Pública.
Apoyar en las acciones para la formulación, implementación y/o evaluación del Seguimiento y Evaluación de la Inversión Pública.
Apoyar en registrar información para las actas, informes y otros documentos que se elaboren en reuniones de trabajo convocadas referentes a Seguimiento y Evaluación de la Inversión Pública.
Realizar otras funciones que le asigne.",ASISTENTE I – ASISTENTE DE INFORMACIÓN ESTADÍSTICA,Analista,"Cuatro (04) años de experiencia general.
Tres (03) años de experiencia con nivel mínimo de Auxiliar o Asistente en el Sector Público o Privado.
Tres (03) años de experiencia en el puesto y/o funciones equivalentes en el Sector Público.",D
13,"•Generar la oferta del producto o servicio para una aplicación requerida por el mercado.
•Conocer las características técnicas de los productos a profundidad y transformarlas en beneficios y ventajas para el cliente y diferenciación para Intech S.a. respecto a la oferta del mercado.
•Transformarse en un asesor consultivo para el cliente, principalmente en la post-compra/venta y mejoramiento de sus procesos.
•Establecer, preparar y coordinar con el Jefe Inmediato un PROGRAMA O PLAN  MENSUAL DE VISITAS, de manera que los esfuerzos dedicados a clientes particulares estén en relación con el logro de los objetivos de personales y de la compañía.
•Hacer visitas periódicas de ventas a todos los clientes de acuerdo con el PROGRAMA O PLAN  MENSUAL DE VISITAS acompañado con las respectivas jefaturas, con el objetivo de aumentar  nuestras ventas potenciales en las respectivas líneas y monitorear las oportunidades de negocio. Estas visitas incluyen la planta o líneas de producción donde se puede ver falencias técnicas de los clientes y dar soluciones a futuros problemas o crear necesidades.
•Conocer a las personas clave en cada organización cliente y establecer relaciones de confianza.
•Estar familiarizado y poder explicar a los clientes las políticas de la compañía sobre precios, entregas, créditos y ajustes.",Asesor Comercial de Bombas y Equipos,Consultor / Asesor,"Estrategias de comercialización y ventas de productos; conocimiento del mercado para su análisis e investigación; planes de negocios; políticas de precios, entregas, créditos y ajustes de la compañía. Solidos conocimientos técnicos de los productos.",D
14,"Por encargo de nuestro cliente, el Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN), institución pública encargada de regular y supervisar a las empresas del sector eléctrico, hidrocarburos y minero; nos encontramos en búsqueda de un CAS 047 – 2016 ESPECIALISTA II – PROCESOS Y PROYECTOS
Funciones:
•	Monitorear el desarrollo de los objetivos del plan operativo y los procesos relacionados con la supervisión operativa, pre-operativa y especial asignados; evaluando las actividades de las empresas supervisoras y calificando el desempeño de las mismas, para dar cumplimiento al Plan Operativo institucional y así como la gestión de la supervisión.
•	Proponer y/o desarrollar proyectos, procedimientos y manuales técnicos necesarios para contar con herramientas que permitan la supervisión y fiscalización de las actividades de almacenamiento y transporte marítimo, a fin de mantener la mejora continua en las actividades de supervisión y fiscalización de los agentes e instalaciones supervisadas.
•	Evaluar, revisar y supervisar la elaboración de los informes relacionados con las disposiciones y/o acciones que se requieran ejecutar dentro del marco del ejercicio de la función sancionadora de Osinergmin, a fin de implementar las acciones correctivas que resulten necesarias.
•	Proponer las modificaciones técnicas y legales que se consideren necesarias en el marco normativo vigente, a fin de mantenerlas actualizadas y en concordancia con las nuevas tecnologías y tendencias internacionales en seguridad operacional.
•	Coordinar y participar con los diferentes especialistas de la división y otros órganos de Osinergmin en la elaboración de informes para la atención de denuncias, reclamos, consultas y/o requerimientos formulados por los diversos grupos de interés (agente supervisado, público en general u otras autoridades), a fin de dar una respuesta oportuna y eficaz.
•	Participar en talleres informativos, mesas de diálogo u otras actividades programadas o solicitadas por la División de supervisión de hidrocarburos líquidos, a fin de coadyuvar en la consecución de los objetivos del área.
•	Dictar seminarios, charlas y cursos técnicos; con la finalidad de realizar una eficiente difusión de conocimientos relacionados a la división.",CAS 047 – 2016 ESPECIALISTA II – PROCESOS Y PROYECTOS,Ejecutivo,"Experiencia	
- No menor de cinco (05) años de experiencia general en entidades públicas o privadas.
- No menor de tres (03)  años de experiencia específica en puestos y/o funciones equivalentes, desde el nivel  Analista/Especialista o su equivalente.
- No menor de un (01) año de experiencia específica, desde el nivel Analista/Especialista  o su equivalente  en el  Sector Público.
Diplomado y/o Curso no menor a 90 horas en estudios de riesgos o protección de buques e instalaciones portuarias (PBIP) o eficiencia energética o en energía.
Conocimientos para el puesto y/o cargo.
Conocimientos en supervisión y fiscalización de transporte acuático e instalaciones de almacenamiento de hidrocarburos líquidos, conocimiento técnico y legal del sub sector hidrocarburos líquidos. Office (Word, Excel, Power Point, nivel intermedio) e Inglés (nivel básico).",D
15,"El Área de Inteligencia de Datos de la Dirección de Tecnologías de la Información de nuestra universidad necesita contar con los servicios de un profesional bachiller de la especialidad de Ingeniería Informática o afín, a tiempo completo.
Si estás interesado en desarrollarte profesionalmente en el campo de la Inteligencia de Negocios y el Análisis de Datos, esta es una gran oportunidad para ti.

1. Apoyo en el análisis y definición de requerimientos de aplicaciones de soporte a la toma de decisiones.
2. Apoyo en diseño y definición de indicadores.
3. Desarrollo e implementación de bases de datos dimensionales.
4. Desarrollo, mantenimiento e implementación de Aplicaciones de Extracción, Transformación y Carga (ETLs) del Data Warehouse PUCP.
5. Desarrollo, mantenimiento e implementación de Aplicaciones de explotación de la información del Data Warehouse PUCP con herramientas OLAP .
6. Desarrollo, Mantenimiento e implementación de Aplicaciones Java para el Campus Virtual.
7. Apoyo en el desarrollo de Aplicaciones y Estudios estadísticos.",Analista de Sistemas - Inteligencia de Negocios y Datos,Analista,"Deseable 1 año de experiencia en el área.
Conocimientos Intermedios:
Como apoyo a sistemas: Bases de datos, arquitectura de sistemas y programación.
Como apoyo a inteligencia de negocios: Metodologías de inteligencia de negocios.
Como apoyo a estadística: Estudios en estadística, aplicaciones estadísticas.",D
16,"•	Cumplir con la ejecución del mantenimiento preventivo de los equipos asignados.
•	Cumplir con la atención de correctivos y emergencias, cumpliendo con los estándares de servicio. 
•	La ejecución de mantenimiento preventivo y correctivo incluye equipos de planta de fuerza como son: aire acondicionado, bombas, subestaciones y grupos electrógenos con proyección de asumir equipos especializados del negocio como máquinas de café, freidoras, hornos.
•	Desarrollar cartera de proveedores, mediante habilidades de negociación y gestión de contratos de servicio con registros o check list de maquinarias que deberán desarrollados por cada especialidad o tipo de máquina.
•	Proponer acciones de mejora continua con relación a los procesos de mantenimiento buscando eficiencias en el uso del tiempo del personal y los tiempos de respuesta a las tiendas. 
•	Participar activamente en actividades de mejora de clima laboral,  capacitación y evaluación de desempeño de los miembros de su equipo.
•	Cumplir con el presupuesto del área buscando invertir más en mantenimiento preventivo que en correctivo  y preparar reportes de ejecución del gasto para compartirlo con sus supervisores buscando desarrollar en ellos un sentido de control presupuestal.",Jefe de Mantenimiento,Dirección / Alta Gerencia,"•	En posiciones de jefatura o supervisión de 2 a 3 años. 
•	Experiencia en implementar y organizar programas de mantenimiento preventivo con indicadores de desempeño del mismo.
•	Experiencia con trabajo de mantenimiento de equipos de refrigeración, aire acondicionado, redes eléctricas de baja tensión y redes de agua y desague.
•	Experiencia en Lectura de planos eléctricos y Sistemas de refrigeración.",A
17,"Diseño e implementación de circuitos electrónicos
Diseño e implementación de firmware embebido para microcontroladores AVR
Documentación de los proyectos implementados",Ingeniero de desarrollo,Analista,Experiencia laboral o académica en diseño de circuitos impresos y programación en lenguaje C,A
18,"·          Investigar nuevas metodologías y/o tecnologías para aplicarlas en el desarrollo de los productos y/o servicios de la empresa
·          Capacitar al personal en nuevas metodologías y/o tecnologías  de desarrollo de software.
·          Definir/proponer, revisar y mejorar el marco de trabajo de la arquitectura de los productos y/o servicios de la empresa.
·          Elaborar modelos de arquitectura de los sistemas, productos y servicios.
·          Apoyar en caso sea necesario en el desarrollo e implementación de los productos de software y sus componentes.",Arquitecto de Sistemas,Profesional especializado,"·          Certificación en JAVA.
·          Conocimiento Norma IEEE 1471.
·          Conocimientos en Enterprise Architecture.
·          Conocimientos de Tecnologías JEE (JEE6, JEE7).
·          Conocimiento en ejecución de estándares y componentes específicos de arquitectura de sistemas.
·          Conocimientos intermedios en Administración de Servidores de Aplicaciones (JBoss, Was,     WebLogic).
·          Bases de Datos  (programación): Oracle y/o PostgreSQL y/o DB2.
·          Conocimientos en Modelamiento de Base de datos.
·          Lectura de documentos referidos a arquitectura de sistemas (inglés).
·          Experiencia mayor a 3 años como Arquitecto de Sistemas - Arquitecto de Software o cargos similares.
·          Experiencia en proyectos de TI relacionados a sistemas transaccionales (entidades financieras, entre otros).",D
19,"-Planificar, programar y ejecutar los programas y presupuestos de mantenimiento preventivo, correctivo y predictivo.
-Presentar a la superintendencia para aprobación del Jefe corporativo de Mantenimiento, el plan de AGM´s y planes de veda.
-Capacitar y/o velar por la capacitación del personal del área.
-Supervisar y controlar el mantenimiento mecánico, eléctrico y electrónico de los equipos y activos de planta.
-Aplicar lo normado en el Sistema de Gestión GMP B2, SEGIND, BASC, ISO 14001entre otros.",JEFE DE MANTENIMIENTO CHI - PLANTA CALLAO,Profesional especializado,"-Diplomado en gestión del mantenimiento y confiabilidad (Deseable).
- Dominio de MS Office y  Autocad a nivel intermedio.
-Ingles a nivel intermedio (Deseable).
-Experiencia mayor a 5 años en empresas pesqueras y en puestos similares.",A
20,"Recibir la comunicación o visita del cliente sobre equipos averiados o consultas de funcionamiento.
Revisar físicamente el equipo y verificar si se cumplen las Condiciones de garantía NEXUS, informando al cliente de las tarifas de revisión y reparación en caso la garantía NEXUS no sea válida.
Ingresar el equipo averiado a Servicio técnico y emitir al cliente el Formato de Atención a través del sistema.
Registrar la acción a tomar para cada caso, coordinando e informando al Gerente de Producto respectivo sobre la gestión realizada.
Elaborar y enviar al fabricante el informe técnico de la avería del equipo junto con los datos del equipo, posteriormente registrar el N° de RMA y modalidad con que indique la fábrica.
Imprimir todos los documentos relacionados al caso y archivarlos en el file físico de casos RMA.
Mantener debidamente ordenado y al día el almacén de servicio técnico, tanto físicamente como en el sistema.
Coordinar con los Gerentes de productos los tiempos de garantía y pruebas a realizar a los equipos.
Recibir los casos de equipos comprado averiados y gestionar las garantías con los fabricantes.
Hacer la revisión del correcto funcionamiento de todos los equipos devueltos, sea por ventas, préstamos o demos; coordinando el ingreso a los almacenes correspondientes.",Ingeniero de Soporte Post Venta,Profesional especializado,,D
21,"•Revisión de guías de remisión en el sistema.
•Recepción y ubicación de repuestos usados de garantías.
•Seguimiento a los Dealer en la devolución de repuestos usados.
•Apertura de Ordenes de Trabajo.
•Archivo de Ordenes de Trabajo.
•Ingreso de reclamos.
•Apoyo en activaciones de garantías etc.",Practicante de Garantía,Practicante,Conocimientos de mecánica.,A
22,"-	Preparar informes semanales, mensuales y todos aquellos que el Project Manager requiera que forme parte de su unidad. 
-	Integrar la información de los estados de pago de los contratos de obras, suministro y servicios durante la construcción del proyecto a las labores propias de esta unidad. 
-	Controlar el presupuesto y dar correcta imputación de las inversiones según la estructura SAP, utilizada por la compañía, con el apoyo a la unidad de Contract Management en su función dentro del proceso de facturación. 
-	Responsable de la coordinación de control presupuestario y del control del avance físico global del proyecto para la generación de reportes e informes requeridos por el Project Team.
-	Elaborar informes de presupuestos mensuales y anuales solicitados por el Project Manager para ser presentados a la compañía.
-	Efectuar periódicamente proyecciones de término de los plazos y costos del proyecto, a partir de las proyecciones que se preparen para estos efectos en las distintas unidades del Project Team.
-	Apoyar al Project Manager con la elaboración de documentación relacionada con procesos de re-autorización del proyecto.",PLANIFICADOR Y CONTROL DE COSTOS EN OBRA – EEPSA,Profesional especializado,"-	Experiencia profesional de diez años en control y administración de proyectos, trabajo con empresas multinacionales de ingeniería y/o fabricantes de equipos (main contrators), deseable experiencia en proyectos similares.
-	Experiencia en la integración de información sobre estados de pago de los contratos de obras, control de presupuestos, planificación en contratos de obras. 
-	Conocimientos de control presupuestario. 
-	Inglés nivel avanzado (escritura, lectura y habla).
-	Disponibilidad de residir en Talara, Piura.",D
23,"La Universidad de Ingeniería y Tecnología (UTEC) está en búsqueda de un estudiante interesado en la tecnología e innovación, con ganas de asumir nuevos retos y crear un fuerte impacto en la sociedad,  para ocupar el puesto de Practicante de Laboratorio de Proyectos.

Funciones:
- Apoyar a los alumnos en la resolución de problemas prácticos en el laboratorio.
- Apoyar en la resolución de problemas teóricos relacionados al curso.
- Velar por el buen uso de los equipos dentro del laboratorio.
- Velar por la seguridad de los alumnos dentro del laboratorio.",Practicante de Laboratorio de Proyectos,Practicante,"- Experiencia en fabricación de piezas mecánicas en distintos materiales.
- Dominio de algún lenguaje de programación.",A
24,"• Administrar la información técnica que es utilizada en los talleres del TR.
• Solicitar información sobre procesos de recuperación, inspección de componentes al fabricante para ser entregados al personal encargado de la inspección de los componentes.
• Administrar la base de datos de planos de componentes.
• Desarrollar y administrar los formatos de evaluación.
• Absolver las consultas técnicas de los técnicos y supervisores.
• Administrar el historial de reparaciones del taller: mejoras, cambios de procedimientos.
• Asegurar la entrega de información al taller.
• Elaborar boletines de información técnica. (BIT).
• Programar y realizar de forma regular, la difusión de charlas técnicas para informar nuevas publicaciones y las mejoras tanto al fabricante como propias del TR.",COMUNICADOR TECNICO TR,Profesional especializado,"• Tres  años de experiencia mínima en puestos similares. INDISPENSABLE.
• Conocimiento del idioma inglés a nivel intermedio. INDISPENSABLE.
• Conocimiento de máquinas herramientas y funcionamientos de componentes CAT. Conocimientos de Metalúrgica básica. INDISPENSABLE.
• Manejo de MS Office a nivel intermedio. INDISPENSABLE.",A
25,"Gestor de Base de datos SQL Server, ORACLE 12c y postgreSQL (Capacidad de programar objetos Stored Procedures, Triggers, Funciones) (Configuración de roles y usuarios).
Configuraciones básicas de un servidor de aplicaciones Deploy undeploy de artefacto, instalación y configuración de servidor de aplicaciones Java y J2EE para linux: Weblogic, JBoss, Tomcat (Últimas versiones).
Programación frontend con JavaScript, Ajax, JQuery y Primefaces.
WEB SERVICES: Soap, XML, WSDL, REST JSON/XML.
Otras tecnologías: Maven, Ant, Git, Junit.",ANALISTA PROGRAMADOR JAVA SENIOR,Analista,,D
26,"- Facilitar a los clientes asesoría y asistencia permanente, aportándoles soluciones a sus necesidades logísticas. 
- Coordinar con los clientes las visitas técnicas y de negociación. 
- Efectuar el seguimiento, control y análisis de la evolución de la venta desde el ingreso de la información básica (IB) hasta el cierre de la venta, revisando la elaboración de presupuestos y demás documentos propios de su actividad. 
- Para proyectos integrales, convocar comisiones con los involucrados para el desarrollo de la entrega del producto.  
- Preparar y entregar reportes de su gestión.  
- Abrir mercado (prospección) incrementando la cartera de clientes y mantener o desarrollar los ya existentes utilizando las herramientas óptimas para una gestión efectiva.",Ejecutivo Comercial - Industrial,Ejecutivo,"- Universitario Egresado de las carreras de Administración, Ingeniería Industrial o afines. 
- Conocimiento del rubro industrial y/o productos metal-mecánicos (venta de proyectos integrales, ventas técnicas). 
- Conocimiento de Lectura de planos industriales. 
- De Preferencia: Conocimientos en Normas ISO 9001, OHSAS 18001, ISO 14001 y/o afines. 
- DISPONIBILIDAD PARA LABORAR EN SAN JUAN DE LURIGANCHO",D
27,"•	Atender incidencias de aplicaciones y consultas funcionales.
•	Desarrollar mejoras en aplicaciones locales en plataforma web y desktop.
•	Realizar análisis y desarrollo de software.
•	Implementar soluciones de software de terceros (locales o globales).
•	Desarrollar análisis de información, reportes y estadísticas.
•	Apoyar a realizar análisis y mejora de procesos de negocio.
•	Administrar seguridad sobre aplicativos locales y globales.
•	Coordinar con proveedores de software para realizar mejoras y soporte.",ANALISTA DE SISTEMAS,Analista,"•	Experiencia mínima de 2 a 3 años desempeñando funciones similares.
•	Contar con Certificación Microsoft (deseable).
•	Manejo de SQL Server, Programación #C, Visual Studio .Net 2013.",D
28,"Administración de Sistemas Operativos (Linux).                     
Administración de servidores de Aplicación y correo.                                  
Monitoreo y optimización de la infraestructura y servicios.
Resolución de incidencias relacionadas a los servicios Web.
Planificación, despliegue y mantenimiento de infraestructuras",Administrador de Servidores,Operativo,"Entre 3 y 5 años de experiencia laboral en posiciones similares. 
Experiencia liderando equipos de trabajo que incluya personal de terceros.
Excelencia de trabajo en equipo con foco en el cliente.
Administrando productos y servicios de diversas marcas.
Manejo y resolución de conflictos.
Manejo de estándares tales como ITIL, COBIT, CMMI, afines

Conocimientos Comprobados en:
Conocimientos indispensables en Infraestructura de Servidores.
Conocimientos sólidos en Sistemas Operativos Linux.
Conocimientos básicos en sistemas de almacenamiento (SAN).
Conocimientos de entornos virtuales VMWARE/ RHE.
Conocimiento en herramientas de monitoreo.
Conocimientos en Herramientas de backup (Netbackup y Dataprotector).
Conocimiento de plataforma de correo sobre plataforma Linux.
Conocimientos sólidos en administración de servidores de aplicaciones Apache, Tomcat, IIS
Conocimientos de lenguajes de programación: HTML, PHP y lenguajes Java y/o .NET
Conocimientos básicos de Bases de Datos.",D
